"neo_id","date","hour","minute","relative_velocity_kph","miss_distance_km","orbiting_body",
"2190208","2020-10-15","16","45","66273.0943839455","70304407.24385312","Earth",
"2190491","2020-07-21","22","25","23828.716454374","71952626.28070924","Earth",
"2192563","2020-04-20","00","51","47517.9801428333","62310952.379307464","Earth",
"2198752","2021-01-19","21","08","6050.7371255454","74266199.09302475","Earth",
"2199003","2021-08-05","14","45","53821.9965113953","34392923.81400203","Earth",
"2202411","2021-02-17","00","09","83873.1289717843","31844789.91900723","Earth",
"2203015","2020-01-22","20","52","49213.6983465984","55572046.899393596","Earth",
"2203471","2021-02-12","07","18","39221.3907903967","40167006.986740544","Earth",
"2206359","2021-02-08","05","07","61371.274533962","56452969.066273466","Earth",
"2207398","2021-06-16","02","34","48365.6886904198","16106543.160690105","Earth",
"2215588","2020-07-02","20","10","113610.4745962079","49218764.247156106","Earth",
"2216523","2021-04-02","11","40","77296.507614814","47355344.12652975","Earth",
"2216707","2021-01-16","13","20","41758.9834998748","72273784.49896371","Earth",
"2217430","2020-02-14","19","04","57116.3685855116","37958984.133426696","Earth",
"2217837","2021-09-03","14","38","83189.7848521346","35871917.65055541","Earth",
"2220909","2021-09-24","02","08","101133.1246147927","59873603.695573926","Earth",
"2221980","2020-08-20","08","51","95663.2623503684","70126659.4528965","Earth",
"2223456","2021-04-03","15","53","59142.7417649749","67317598.67342322","Earth",
"2225586","2021-03-03","18","55","72566.4104320806","55821509.11174805","Earth",
"2226514","2020-09-20","13","36","107911.5080489017","48180306.696891904","Earth",
"2228368","2020-05-07","03","10","62411.0145991243","56721081.24116657","Earth",
"2228502","2020-08-05","02","34","64971.9433743314","63872515.47366567","Earth",
"2228587","2020-07-15","18","47","43133.1326294173","53897096.308905914","Earth",
"2230111","2021-10-10","19","20","52539.2310867224","72040238.67718898","Earth",
"2231937","2021-03-21","16","03","123887.3437037772","2016322.57765508","Earth",
"2232691","2021-07-20","23","19","89458.1194609814","67318988.72187147","Earth",
"2234145","2020-03-21","13","21","50340.5586762343","18726325.01074909","Earth",
"2234341","2020-02-07","16","23","83006.324362292","53140841.28763395","Earth",
"2235756","2021-04-10","12","51","69852.3387430288","41105750.67514772","Earth",
"2237551","2020-10-28","01","48","85065.425937634","47229118.395513244","Earth",
"2237805","2021-09-10","23","47","67795.9041328686","26396272.805923607","Earth",
"2242147","2021-05-10","21","49","97429.3765314365","49639184.24250447","Earth",
"2242191","2020-07-09","05","35","80502.6946403617","38413983.84098322","Earth",
"2242450","2020-07-08","11","27","96045.7297954907","24410484.006243385","Earth",
"2242643","2020-07-29","02","24","142587.9110705314","48541536.23052417","Earth",
"2247517","2021-08-12","19","31","115595.7235314257","56900092.326296195","Earth",
"2248590","2021-03-29","21","06","125390.7254417742","44966465.631389394","Earth",
"2248818","2021-11-21","01","01","55339.48472548","42584421.6196585","Earth",
"2248926","2020-01-16","10","01","33290.1686220296","74358253.79825415","Earth",
"2250577","2020-02-04","21","04","100100.5382550312","13235502.008983929","Earth",
"2250680","2021-08-01","01","59","26302.3505309094","37234336.32964578","Earth",
"2252793","2020-04-10","13","06","91325.28120084","55247175.31793061","Earth",
"2255501","2021-09-19","19","01","62314.0869059899","37371660.69671801","Earth",
"2256004","2020-10-16","17","27","15428.3955205218","31646179.253979772","Earth",
"2257744","2021-12-17","02","47","96514.0958225657","54676200.250611044","Earth",
"2259221","2021-03-06","22","32","150267.6421588609","73528137.02775837","Earth",
"2260141","2021-10-15","20","38","66657.3620193011","46829912.42531597","Earth",
"2260277","2021-07-30","14","51","36616.2037133652","46030429.09489605","Earth",
"2264357","2021-10-06","16","15","26156.111297984","58330755.713626765","Earth",
"2265482","2021-07-05","21","35","80165.3985083588","63489448.89959291","Earth",
"2265661","2021-03-21","05","58","90128.4184535519","69439924.50658585","Earth",
"2267136","2020-09-13","09","38","34082.2809421222","41325548.93138265","Earth",
"2267221","2021-01-11","04","48","135428.0591973251","73539218.92381245","Earth",
"2267223","2021-01-22","16","21","90193.0980976924","50888077.70566624","Earth",
"2267337","2021-10-31","15","58","43098.3918297281","46405520.48684081","Earth",
"2267494","2020-05-30","12","49","126874.1360139145","23640805.08938314","Earth",
"2267940","2020-11-08","15","22","69688.0734781306","33071932.8840963","Earth",
"2271480","2021-03-11","05","00","61066.3072466156","13858902.55778054","Earth",
"2274138","2020-09-02","13","44","72274.7002127191","65384293.44407296","Earth",
"2275714","2020-12-06","17","27","66363.4084258627","24038199.30969642","Earth",
"2276111","2020-06-16","12","58","27042.3557396361","66428105.79025466","Earth",
"2276409","2020-12-29","12","14","97524.2532060662","52014385.97677688","Earth",
"2276732","2020-03-10","05","07","122570.0883808992","21741886.501230024","Earth",
"2276770","2020-03-07","15","50","62732.5194157045","57087811.78767447","Earth",
"2276891","2020-12-11","19","19","72628.0182152554","38779265.59195932","Earth",
"2277810","2020-03-25","20","35","36529.6749195179","55170798.15532168","Earth",
"2281365","2020-01-07","22","04","109953.1772933486","67102892.42948735","Earth",
"2283457","2021-08-22","06","28","16506.3905337601","43347024.58718732","Earth",
"2283460","2021-10-03","05","07","11405.9278388795","41172469.75439009","Earth",
"2285179","2020-07-14","01","01","64536.3587798428","36478883.571831055","Earth",
"2285567","2020-06-01","10","50","48671.2372220532","51964898.821863435","Earth",
"2285571","2021-07-21","19","32","32215.602279128","10054716.98642384","Earth",
"2285990","2020-09-03","06","26","76850.2461091842","53762471.839312084","Earth",
"2286079","2021-10-09","23","01","71656.4236385826","22677433.387873814","Earth",
"2286080","2021-06-26","16","16","69325.1558225978","24239040.44904601","Earth",
"2288592","2021-08-08","09","15","47015.0970850037","43249924.67883238","Earth",
"2289227","2021-12-19","08","55","118508.6773401926","47899135.60033395","Earth",
"2293726","2021-05-16","16","30","57370.5868015357","48023002.15798077","Earth",
"2297300","2021-10-28","09","58","33926.4746308641","36424267.154748924","Earth",
"2301011","2021-04-14","06","48","71181.9254988839","26701805.377058726","Earth",
"2302156","2021-10-09","22","32","63811.7819702492","74440580.79726829","Earth",
"2302169","2021-11-14","12","30","70963.0907349866","73175022.05658959","Earth",
"2302830","2020-10-13","11","54","58744.4481106578","19056898.903981593","Earth",
"2302831","2021-05-02","10","51","51031.4321936131","54463064.230798066","Earth",
"2302871","2021-07-14","16","33","18281.326639425","23924061.206254214","Earth",
"2303250","2021-08-08","14","06","60347.0578493988","31716135.990163825","Earth",
"2303262","2021-04-18","18","21","38691.7814553782","38783643.438986786","Earth",
"2304293","2020-03-27","20","16","89076.0782487589","41472505.83050524","Earth",
"2306383","2020-10-30","09","19","83999.7129200292","30881091.705186844","Earth",
"2307070","2020-01-08","14","13","29921.7159088894","41789754.42810557","Earth",
"2307493","2020-11-02","21","57","57879.530357899","44389664.744298846","Earth",
"2307564","2021-12-19","11","23","25244.5585203687","74223885.09613866","Earth",
"2308043","2020-07-30","01","58","90130.5673022945","35361465.30374303","Earth",
"2308635","2021-10-03","10","27","32572.6275306682","36927318.50597794","Earth",
"2310442","2021-03-23","02","46","75999.576517574","41288350.83757545","Earth",
"2310842","2020-12-30","21","11","60742.5267126575","27575586.684091374","Earth",
"2311554","2021-02-22","02","34","60522.5595361792","13369690.625183513","Earth",
"2312070","2021-09-23","09","01","56719.0206312772","23088256.29090722","Earth",
"2312956","2021-08-27","16","32","59751.228459015","53830257.67104584","Earth",
"2313276","2021-01-07","07","45","67324.9739816524","33454982.29929336","Earth",
"2313548","2021-02-02","17","43","41611.8273126894","63875435.54928913","Earth",
"2313552","2020-11-10","05","51","37096.5329051173","42021630.93212834","Earth",
"2313809","2020-07-06","08","57","89774.009036388","59004601.35233758","Earth",
"2315098","2020-02-09","10","48","63805.3544545362","22783328.319563705","Earth",
"2316695","2020-10-05","20","01","42867.9389855614","40976017.66694843","Earth",
"2317643","2021-03-16","05","46","62717.6849649404","36160622.48088677","Earth",
"2317685","2021-08-04","03","32","50290.952348709","65516353.836094566","Earth",
"2318050","2020-05-16","17","37","19875.2717520083","62104496.517741255","Earth",
"2318160","2021-11-22","13","22","25924.2394474478","44423236.55581767","Earth",
"2319988","2020-10-23","02","09","86994.3895443342","37519777.48796586","Earth",
"2325102","2020-03-25","08","40","76767.1058989102","36079562.93486642","Earth",
"2325395","2020-06-11","23","28","52130.4328549051","43175230.01354777","Earth",
"2326290","2021-04-03","13","29","35908.6868207765","39421849.40474135","Earth",
"2326386","2020-02-25","01","14","79083.4569719962","46652475.12473853","Earth",
"2326732","2021-08-01","03","56","22068.1755422056","25400762.724726014","Earth",
"2329275","2020-11-09","11","38","75421.4717191709","67700362.59604517","Earth",
"2329338","2021-06-05","20","58","79090.2774934556","51540077.94141562","Earth",
"2329340","2020-01-15","05","01","23969.4401572997","36843593.61958716","Earth",
"2329437","2021-06-14","13","08","56158.002681808","48108078.27217254","Earth",
"2330659","2020-04-10","07","45","25790.4294346216","21777147.661655605","Earth",
"2331471","2020-05-14","06","46","95114.831239769","46862017.22028242","Earth",
"2331876","2020-01-25","13","40","74734.1774434642","16752582.250435308","Earth",
"2331990","2021-04-11","12","09","80095.2571331237","60640009.68031474","Earth",
"2332446","2021-01-06","21","52","39558.5409780572","3676168.181450142","Earth",
"2333478","2021-06-25","22","34","87219.5623150349","54064680.73473026","Earth",
"2333755","2020-12-07","11","58","58276.0541998386","51585474.058337964","Earth",
"2333889","2021-09-28","15","48","90927.6137076352","53349131.817477845","Earth",
"2337053","2021-12-11","22","50","74289.6110869733","40747900.79675535","Earth",
"2337084","2021-01-28","17","18","18727.1485893405","67051520.70044679","Earth",
"2337118","2021-02-20","20","48","157312.1435097985","73950522.60448046","Earth",
"2337248","2021-09-12","06","21","51466.0164324368","41688843.8431277","Earth",
"2337345","2020-08-02","11","16","23844.9247728492","65318896.48088608","Earth",
"2338292","2020-11-09","06","16","78986.1924878688","52507006.60156037","Earth",
"2339714","2020-03-13","03","24","38876.9592826321","55422146.81177662","Earth",
"2340666","2020-02-07","00","18","46540.6381385554","59275589.890356526","Earth",
"2344756","2021-09-08","03","52","21063.1220353115","66858193.15899732","Earth",
"2345705","2020-11-26","14","02","63674.6596079587","44745461.06281015","Earth",
"2345722","2021-12-19","19","50","82998.7000130257","54687649.035441294","Earth",
"2348306","2021-12-13","22","34","48823.9432043263","56123931.52820608","Earth",
"2348314","2021-07-21","05","27","56129.6525104138","23364224.283787847","Earth",
"2349063","2020-02-23","06","27","47620.7602888403","38410301.534292534","Earth",
"2349074","2021-02-19","22","49","63573.5977009052","74401647.06897335","Earth",
"2349928","2020-05-27","16","38","69242.5449668736","66190109.62632465","Earth",
"2350523","2020-02-03","14","46","53684.3227682934","48545853.64001215","Earth",
"2351340","2020-12-27","20","53","105400.2539374358","70082455.9451536","Earth",
"2351508","2021-11-15","18","36","10159.3630657912","48919308.909972295","Earth",
"2351545","2021-03-24","03","15","41007.5225694659","10179305.293954259","Earth",
